character_name,rarity,region,vision,arkhe,weapon_type,model,constellation,birthday,special_dish,affiliation,release_date,limited,voice_eng,voice_cn,voice_jp,voice_kr,ascension,ascension_specialty,ascension_material,ascension_boss,talent_material,talent_book_1-2,talent_book_2-3,talent_book_3-4,talent_book_4-5,talent_book_5-6,talent_book_6-7,talent_book_7-8,talent_book_8-9,talent_book_9-10,talent_weekly,hp_90_90,atk_90_90,def_90_90,hp_80_90,atk_80_90,def_80_90,hp_80_80,atk_80_80,def_80_80,hp_70_80,atk_70_80,def_70_80,hp_70_70,atk_70_70,def_70_70,hp_60_70,atk_60_70,def_60_70,hp_60_60,atk_60_60,def_60_60,hp_50_60,atk_50_60,def_50_60,hp_50_50,atk_50_50,def_50_50,hp_40_50,atk_40_50,def_40_50,hp_40_40,atk_40_40,def_40_40,hp_20_40,atk_20_40,def_20_40,hp_20_20,atk_20_20,def_20_20,hp_1_20,atk_1_20,def_1_20,spsecial_0,special_1,special_2,special_3,special_4,special_5,special_6
Eula,5,Mondstadt,Cryo,N/A,Claymore,Tall Female,Aphros Delos,25-Oct,Stormcrest Pie,Knights of Favonius,05/18/21,TRUE,Suzie Yeung,Ziyin (??),Rina Sato (????),Kim Hyeon-ji (???),CRIT DMG,Dandelion Seed,Damaged Mask,Crystalline Bloom,Damaged Mask,Teachings of Resistance,Guide to Resistance,Guide to Resistance,Guide to Resistance,Guide to Resistance,Philosophies of Resistance,Philosophies of Resistance,Philosophies of Resistance,Philosophies of Resistance,Dragon Lord's Crown,13226,342,751,12296,318,698,11669,302,662,10746,278,610,10119,262,574,9207,238,523,8579,222,487,7675,199,436,6839,177,388,5944,154,337,5317,138,302,3554,92,202,2671,69,152,1030,27,58,0.0%,0.0%,9.6%,19.2%,19.2%,28.8%,38.4%
Faruzan,4,Sumeru,Anemo,N/A,Bow,Medium Female,Flosculi Implexi,20-Aug,Traditionally-Made Charcoal-Baked Ajilenakh Cake,Haravatat,12/07/23,FALSE,Chandni Parekh,Yan Mengmeng (???),Horie Yui (?? ??),Kim You-rim (???),ATK,Henna Berry,Faded Red Satin,Light Guiding Tetrahedron,Faded Red Satin,Teachings of Admonition,Guide to Admonition,Guide to Admonition,Guide to Admonition,Guide to Admonition,Philosophies of Admonition,Philosophies of Admonition,Philosophies of Admonition,Philosophies of Admonition,Puppet Strings,9569,196,627,8907,182,584,8481,174,556,7818,160,513,7392,151,485,6730,138,441,6304,129,413,5641,115,370,5074,104,332,4411,90,289,3985,81,261,2660,54,174,2061,42,135,802,16,52,0.0%,0.0%,6.0%,12.0%,12.0%,18.0%,24.0%
Fischl,4,Mondstadt,Electro,N/A,Bow,Medium Female,Corvus,27-May,Die Heilige Sinfonie,Adventurers' Guild,09/28/20,FALSE,"Brittany Cox, Ben Pronsky","Mace,  Yuantao Li (???), Zhao Yuecheng (???)","Maaya Uchida (????), Yasunori Masutani (????)","Park Go-woon (???), Lee Hyun (??)",ATK,Small Lamp Grass,Firm Arrowhead,Lightning Prism,Firm Arrowhead,Teachings of Ballad,Guide to Ballad,Guide to Ballad,Guide to Ballad,Guide to Ballad,Philosophies of Ballad,Philosophies of Ballad,Philosophies of Ballad,Philosophies of Ballad,Spirit Locket of Boreas,9189,244,594,8553,227,553,8144,216,526,7508,200,485,7099,189,459,6463,172,418,6054,161,391,5418,144,350,4872,130,315,4236,113,274,3827,102,247,2555,68,165,1979,53,128,770,20,50,0.0%,0.0%,6.0%,12.0%,12.0%,18.0%,24.0%
Freminet,4,Fontaine,Cryo,Pneuma,Claymore,Medium Male,Automaton,24-Sep,"""Seabird's Sojourn""",Hotel Bouffes d'ete,09/05/23,FALSE,Paul Castro Jr.,Jinli (??),Toki Shunichi (????),Lee Joo-Seung (???),ATK,Romaritime Flower,Transoceanic Pearl,Artificed Spare Clockwork Component - Coppelius,Transoceanic Pearl,Teachings of Justice,Guide to Justice,Guide to Justice,Guide to Justice,Guide to Justice,Philosophies of Justice,Philosophies of Justice,Philosophies of Justice,Philosophies of Justice,Worldspan Fern,12071,254,708,11235,237,659,10697,225,627,9861,208,578,9324,196,547,8489,179,498,7952,167,466,7116,150,417,6400,135,375,5564,117,326,5027,106,295,3356,70,196,2600,54,152,1012,21,59,0.0%,0.0%,6.0%,12.0%,12.0%,18.0%,24.0%
Ganyu,5,Liyue,Cryo,N/A,Bow,Medium Female,Sinae Unicornis,2-Dec,Prosperous Peace,Yuehai Pavilion,01/12/21,TRUE,Jennifer Losi,Su Lin (??),Reina Ueda (????),Kim Sun-hye (???),CRIT DMG,Qingxin,Whopperflower Nectar,Hoarfrost Core,Whopperflower Nectar,Teachings of Diligence,Guide to Diligence,Guide to Diligence,Guide to Diligence,Guide to Diligence,Philosophies of Diligence,Philosophies of Diligence,Philosophies of Diligence,Philosophies of Diligence,Shadow of the Warrior,9797,335,630,9108,311,586,8643,295,556,7960,272,512,7495,256,482,6820,233,439,6355,217,409,5686,194,366,5066,173,326,4403,151,283,3939,135,253,2632,90,169,1978,68,127,763,26,49,0.0%,0.0%,9.6%,19.2%,19.2%,28.8%,38.4%
Gorou,4,Inazuma,Geo,N/A,Bow,Medium Male,Canis Bellatoris,18-May,Victorious Legend,Watatsumi Island,12/14/21,FALSE,Cory Yee,Yang Xinran (???),Tasuku Hatanaka (?? ?),Lee Sae-byeok (???),Geo DMG Bonus,Sango Pearl,Spectral Husk,Perpetual Heart,Spectral Husk,Teachings of Light,Guide to Light,Guide to Light,Guide to Light,Guide to Light,Philosophies of Light,Philosophies of Light,Philosophies of Light,Philosophies of Light,Molten Moment,9570,183,648,8907,170,603,8481,162,575,7818,149,530,7393,141,501,6731,128,456,6305,120,427,5642,108,382,5074,97,344,4411,84,299,3985,76,270,2661,51,180,2061,39,140,802,15,54,0.0%,0.0%,6.0%,12.0%,12.0%,18.0%,24.0%
Hu Tao,5,Liyue,Pyro,N/A,Polearm,Medium Female,Papilio Charontis,15-Jul,Ghostly March,Wangsheng Funeral Parlor,03/02/21,TRUE,Brianna Knickerbocker,Dian Tao (??),Rie Takahashi (????),Kim Ha-ru (???),CRIT DMG,Silk Flower,Whopperflower Nectar,Juvenile Jade,Whopperflower Nectar,Teachings of Diligence,Guide to Diligence,Guide to Diligence,Guide to Diligence,Guide to Diligence,Philosophies of Diligence,Philosophies of Diligence,Philosophies of Diligence,Philosophies of Diligence,Shard of a Foul Legacy,15552,106,876,14459,99,815,13721,94,773,12637,86,712,11899,81,670,10826,74,610,10089,69,568,9026,62,508,8042,55,453,6990,48,394,6253,43,352,4179,29,235,3141,21,177,1211,8,68,0.0%,0.0%,9.6%,19.2%,19.2%,28.8%,38.4%
Jean,5,Mondstadt,Anemo,N/A,Sword,Tall Female,Leo Minor,14-Mar,Invigorating Pizza,Knights of Favonius,09/28/20,FALSE,Stephanie Southerland,Su Lin (??),Chiwa Sait? (????),Ahn Young-mi (???),Healing Bonus,Dandelion Seed,Damaged Mask,Hurricane Seed,Damaged Mask,Teachings of Resistance,Guide to Resistance,Guide to Resistance,Guide to Resistance,Guide to Resistance,Philosophies of Resistance,Philosophies of Resistance,Philosophies of Resistance,Philosophies of Resistance,Dvalin's Plume,14695,239,769,13662,222,715,12965,211,678,11940,194,624,11243,183,588,10230,166,535,9533,155,499,8528,139,446,7599,124,397,6605,108,345,5908,96,309,3948,64,206,2967,48,155,1144,19,60,0.0%,0.0%,5.5%,11.1%,11.1%,16.6%,22.2%
Kaedehara Kazuha,5,Inazuma,Anemo,N/A,Sword,Medium Male,Acer Palmatum,29-Oct,All-Weather Beauty,The Crux,06/29/21,TRUE,Mark Whitten,Banma (??),Nobunaga Shimazaki (?? ??),Kim Shin-woo (???),Elemental Mastery,Sea Ganoderma,Treasure Hoarder Insignia,Marionette Core,Treasure Hoarder Insignia,Teachings of Diligence,Guide to Diligence,Guide to Diligence,Guide to Diligence,Guide to Diligence,Philosophies of Diligence,Philosophies of Diligence,Philosophies of Diligence,Philosophies of Diligence,Gilded Scale,13348,297,807,12410,276,750,11777,262,712,10846,241,656,10213,227,617,9292,206,562,8659,192,523,7747,172,468,6902,153,417,5999,133,363,5366,119,324,3586,80,217,2695,60,163,1039,23,63,0.0,0.0,28.8,57.6,57.6,86.4,115.2
Kaeya,4,Mondstadt,Cryo,N/A,Sword,Tall Male,Pavo Ocellus,30-Nov,Fruity Skewers,Knights of Favonius,09/28/20,FALSE,Josey Montana McCoy,Ye Sun (??),Kohsuke Toriumi (????),Jeong Joo-won (???),Energy Recharge,Calla Lily,Treasure Hoarder Insignia,Hoarfrost Core,Treasure Hoarder Insignia,Teachings of Ballad,Guide to Ballad,Guide to Ballad,Guide to Ballad,Guide to Ballad,Philosophies of Ballad,Philosophies of Ballad,Philosophies of Ballad,Philosophies of Ballad,Spirit Locket of Boreas,11636,223,792,10830,208,737,10312,198,702,9508,182,647,8990,172,612,8184,157,557,7666,147,522,6860,131,467,6170,118,420,5364,103,365,4846,93,330,3235,62,220,2506,48,171,976,19,66,0.0%,0.0%,6.7%,13.3%,13.3%,20.0%,26.7%
